series,url,sha256,bytes,license,split_rule
001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,https://raw.githubusercontent.com/ML-KULeuven/dtaianomaly/5d94855fdd5d6b4803797457886a1c498c171e16/data/UCR-time-series-anomaly-archive/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,4a9c39e6d2cbd819909df7d20cf553afa995daa3155611f9972960199973bca3,1356515,MIT mirror ML-KULeuven/dtaianomaly; data UCR Time Series Anomaly Archive Keogh et al. 2021,train=first 40% anomaly-free; test=last 60% holds exactly one contiguous labeled anomaly
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1_5000_6168_6212,https://www.cs.ucr.edu/~eamonn/time_series_data_2018/UCR_TimeSeriesAnomalyDatasets2021.zip,ac4b991c701e620ae9cc5ebd57ae45593a36cc9c0b6ed5e3c4b7e466cf4783d4,184066400,data UCR Time Series Anomaly Archive Wu and Keogh 2021 via official UCR zip member CRLF verbatim; backup DOI 10.6084/m9.figshare.26410744,train=first 40% anomaly-free; test=last 60% holds exactly one contiguous labeled anomaly
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,https://www.cs.ucr.edu/~eamonn/time_series_data_2018/UCR_TimeSeriesAnomalyDatasets2021.zip,ac4b991c701e620ae9cc5ebd57ae45593a36cc9c0b6ed5e3c4b7e466cf4783d4,184066400,data UCR Time Series Anomaly Archive Wu and Keogh 2021 via official UCR zip member CRLF verbatim; backup DOI 10.6084/m9.figshare.26410744,train=first 40% anomaly-free; test=last 60% holds exactly one contiguous labeled anomaly
044_UCR_Anomaly_DISTORTEDPowerDemand1_9000_18485_18821,https://www.cs.ucr.edu/~eamonn/time_series_data_2018/UCR_TimeSeriesAnomalyDatasets2021.zip,ac4b991c701e620ae9cc5ebd57ae45593a36cc9c0b6ed5e3c4b7e466cf4783d4,184066400,data UCR Time Series Anomaly Archive Wu and Keogh 2021 via official UCR zip member CRLF verbatim; backup DOI 10.6084/m9.figshare.26410744,train=first 40% anomaly-free; test=last 60% holds exactly one contiguous labeled anomaly
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440,https://www.cs.ucr.edu/~eamonn/time_series_data_2018/UCR_TimeSeriesAnomalyDatasets2021.zip,ac4b991c701e620ae9cc5ebd57ae45593a36cc9c0b6ed5e3c4b7e466cf4783d4,184066400,data UCR Time Series Anomaly Archive Wu and Keogh 2021 via official UCR zip member CRLF verbatim; backup DOI 10.6084/m9.figshare.26410744,train=first 40% anomaly-free; test=last 60% holds exactly one contiguous labeled anomaly
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS_3500_5988_6085,https://www.cs.ucr.edu/~eamonn/time_series_data_2018/UCR_TimeSeriesAnomalyDatasets2021.zip,ac4b991c701e620ae9cc5ebd57ae45593a36cc9c0b6ed5e3c4b7e466cf4783d4,184066400,data UCR Time Series Anomaly Archive Wu and Keogh 2021 via official UCR zip member CRLF verbatim; backup DOI 10.6084/m9.figshare.26410744,train=first 40% anomaly-free; test=last 60% holds exactly one contiguous labeled anomaly
012_UCR_Anomaly_DISTORTEDECG2_15000_16000_16100,https://www.cs.ucr.edu/~eamonn/time_series_data_2018/UCR_TimeSeriesAnomalyDatasets2021.zip,ac4b991c701e620ae9cc5ebd57ae45593a36cc9c0b6ed5e3c4b7e466cf4783d4,184066400,data UCR Time Series Anomaly Archive Wu and Keogh 2021 via official UCR zip member CRLF verbatim; backup DOI 10.6084/m9.figshare.26410744,train=first 40% anomaly-free; test=last 60% holds exactly one contiguous labeled anomaly
078_UCR_Anomaly_DISTORTEDresperation1_100000_110260_110412,https://www.cs.ucr.edu/~eamonn/time_series_data_2018/UCR_TimeSeriesAnomalyDatasets2021.zip,ac4b991c701e620ae9cc5ebd57ae45593a36cc9c0b6ed5e3c4b7e466cf4783d4,184066400,data UCR Time Series Anomaly Archive Wu and Keogh 2021 via official UCR zip member CRLF verbatim; backup DOI 10.6084/m9.figshare.26410744,train=first 40% anomaly-free; test=last 60% holds exactly one contiguous labeled anomaly
045_UCR_Anomaly_DISTORTEDPowerDemand2_14000_23357_23717,https://www.cs.ucr.edu/~eamonn/time_series_data_2018/UCR_TimeSeriesAnomalyDatasets2021.zip,ac4b991c701e620ae9cc5ebd57ae45593a36cc9c0b6ed5e3c4b7e466cf4783d4,184066400,data UCR Time Series Anomaly Archive Wu and Keogh 2021 via official UCR zip member CRLF verbatim; backup DOI 10.6084/m9.figshare.26410744,train=first 40% anomaly-free; test=last 60% holds exactly one contiguous labeled anomaly
089_UCR_Anomaly_DISTORTEDtiltAPB1_100000_114283_114350,https://www.cs.ucr.edu/~eamonn/time_series_data_2018/UCR_TimeSeriesAnomalyDatasets2021.zip,ac4b991c701e620ae9cc5ebd57ae45593a36cc9c0b6ed5e3c4b7e466cf4783d4,184066400,data UCR Time Series Anomaly Archive Wu and Keogh 2021 via official UCR zip member CRLF verbatim; backup DOI 10.6084/m9.figshare.26410744,train=first 40% anomaly-free; test=last 60% holds exactly one contiguous labeled anomaly
SMAP-P-1,https://huggingface.co/datasets/appleparan/telemanom/resolve/2d22e1061be83a88b7b9e48df35163d5147adc9d/data/data/test/P-1.npy,5dbed44bbd0a643e5e3131578c233e73428c70cc678ea9727dde4f3a2da53ce1,1701128,NASA SMAP telemetry via khundman/telemanom Hundman et al. KDD 2018; HF mirror appleparan/telemanom commit 2d22e10; JPL-Caltech license per mirror LICENSE.txt; labels labeled_anomalies.csv chan P-1,train=sibling train npy all-nominal by construction; test=test npy holds 3 labeled contextual events [2149 2349] [4536 4844] [3539 3779]; naive 40-60 cut REJECTED with evidence (event1 starts 2149 below cut 3402); adaptation logged
MSL-T-4,https://huggingface.co/datasets/appleparan/telemanom/resolve/2d22e1061be83a88b7b9e48df35163d5147adc9d/data/data/test/T-4.npy,330499f248367f9bb3eae4eadc105fa9d44bfee3913a3d4b066f9dd3c43a4156,975608,NASA MSL telemetry via khundman/telemanom Hundman et al. KDD 2018; HF mirror appleparan/telemanom commit 2d22e10; JPL-Caltech license per mirror LICENSE.txt; labels labeled_anomalies.csv chan T-4; supersedes requested MSL-T-1 (T-1 is SMAP per labels CSV),train=sibling train npy all-nominal by construction; test=test npy holds 1 labeled point event [1172 1240]; same train-file rule as SMAP-P-1 for determinism
